alias,ingredient_id,standard_name,match_type
yoghurt natural goat s milk,AUS_F009918,"yoghurt, natural, goat s milk",generated
yoghurt natural greek style  10% fat,AUS_F009655,"yoghurt, natural, greek style  10% fat",generated
yoghurt natural low fat  0 5%,AUS_F009688,"yoghurt, natural, low fat  0 5%",generated
yoghurt natural reduced fat  2%,AUS_F009690,"yoghurt, natural, reduced fat  2%",generated
yoghurt natural reduced fat  2% added fibre,AUS_F009914,"yoghurt, natural, reduced fat  2% , added fibre",generated
yoghurt natural reduced fat  2% homemade,AUS_F009691,"yoghurt, natural, reduced fat  2% , homemade",generated
yoghurt natural reduced fat  2% lactose free,AUS_F009915,"yoghurt, natural, reduced fat  2% , lactose free",generated
yoghurt natural regular fat  4%,AUS_F009694,"yoghurt, natural, regular fat  4%",generated
yoghurt natural regular fat  4% homemade,AUS_F009693,"yoghurt, natural, regular fat  4% , homemade",generated
yoghurt natural regular fat  4% lactose free,AUS_F009913,"yoghurt, natural, regular fat  4% , lactose free",generated
yoghurt natural sheep s milk,AUS_F009919,"yoghurt, natural, sheep s milk",generated
yoghurt oat based,AUS_F009891,"yoghurt, oat based",generated
yoghurt plain low fat unsweetened,NZ_F84,"yoghurt, plain, low fat, unsweetened",generated
yoghurt plain unsweetened,NZ_F57,"yoghurt, plain, unsweetened",generated
yoghurt premium assorted fruits,NZ_F1079,"yoghurt, premium, assorted fruits",generated
yoghurt smoothie,NZ_F1083,"yoghurt smoothie, assorted fruits, sweetened",generated
yoghurt smoothie  assorted fruits  sweetened,NZ_F1083,"yoghurt smoothie, assorted fruits, sweetened",generated
yoghurt smoothie assorted fruits sweetened,NZ_F1083,"yoghurt smoothie, assorted fruits, sweetened",generated
"yoghurt smoothie, assorted fruits, sweetened",NZ_F1083,"yoghurt smoothie, assorted fruits, sweetened",exact
yoghurt soy,NZ_E43,"yoghurt, soy",generated
yoghurt soy based flavoured added fruit,AUS_F009890,"yoghurt, soy based, flavoured added fruit",generated
yoghurt soy based natural,AUS_F009879,"yoghurt, soy based, natural",generated
yoghurt symbio probalance assorted fruits low fat fortified ca vitamins a  and  d,NZ_F1076,"yoghurt, symbio probalance , assorted fruits, low fat, fortified ca, vitamins a  and  d",generated
