alias,ingredient_id,standard_name,match_type
"cake, with fresh fruit  other than banana",AUS_F010299,"cake, with fresh fruit  other than banana",exact
camel,AUS_F009789,"camel, meat, raw",generated
camel  meat  cooked,AUS_F009829,"camel, meat, cooked",generated
camel  meat  raw,AUS_F009789,"camel, meat, raw",generated
camel meat cooked,AUS_F009829,"camel, meat, cooked",generated
camel meat raw,AUS_F009789,"camel, meat, raw",generated
"camel, meat, cooked",AUS_F009829,"camel, meat, cooked",exact
"camel, meat, raw",AUS_F009789,"camel, meat, raw",exact
camp pie,AUS_F002207,"camp pie, canned",generated
camp pie  canned,AUS_F002207,"camp pie, canned",generated
camp pie canned,AUS_F002207,"camp pie, canned",generated
"camp pie, canned",AUS_F002207,"camp pie, canned",exact
cannellini bean,NZ_X1149,"cannellini bean, canned in brine, drained",generated
cannellini bean  canned in brine  drained,NZ_X1149,"cannellini bean, canned in brine, drained",generated
cannellini bean canned in brine drained,NZ_X1149,"cannellini bean, canned in brine, drained",generated
"cannellini bean, canned in brine, drained",NZ_X1149,"cannellini bean, canned in brine, drained",exact
cannelloni,AUS_F002213,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce",generated
cannelloni  homemade  spinach  and  cheese filling  tomato based sauce,AUS_F002213,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce",generated
cannelloni  homemade  spinach  and  cheese filling  tomato based sauce  with added meat,AUS_F002215,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce, with added meat",generated
cannelloni homemade spinach  and  cheese filling tomato based sauce,AUS_F002213,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce",generated
cannelloni homemade spinach  and  cheese filling tomato based sauce with added meat,AUS_F002215,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce, with added meat",generated
"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce",AUS_F002213,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce",exact
"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce, with added meat",AUS_F002215,"cannelloni, homemade, spinach  and  cheese filling, tomato based sauce, with added meat",exact
cannoli,AUS_F002217,"cannoli, unfilled",generated
cannoli  unfilled,AUS_F002217,"cannoli, unfilled",generated
cannoli  with ricotta  and  cream cheese filling,AUS_F002216,"cannoli, with ricotta  and  cream cheese filling",generated
cannoli unfilled,AUS_F002217,"cannoli, unfilled",generated
cannoli with ricotta  and  cream cheese filling,AUS_F002216,"cannoli, with ricotta  and  cream cheese filling",generated
"cannoli, unfilled",AUS_F002217,"cannoli, unfilled",exact
"cannoli, with ricotta  and  cream cheese filling",AUS_F002216,"cannoli, with ricotta  and  cream cheese filling",exact
capers,AUS_F002220,"capers, pickled, canned, drained",generated
capers  pickled  canned  drained,AUS_F002220,"capers, pickled, canned, drained",generated
capers pickled canned drained,AUS_F002220,"capers, pickled, canned, drained",generated
"capers, pickled, canned, drained",AUS_F002220,"capers, pickled, canned, drained",exact
capsicum,AUS_F002239,"capsicum, green, raw",generated
capsicum  baked  roasted  fried  stir-fried  grilled or bbq d  added fat,AUS_F002229,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
capsicum  baked  roasted  fried  stir-fried  grilled or bbq d  no added fat,AUS_F002230,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
capsicum  boiled  microwaved or steamed  drained,AUS_F002233,"capsicum, boiled, microwaved or steamed, drained",generated
capsicum  green  raw,AUS_F002239,"capsicum, green, raw",generated
capsicum  raw,AUS_F002234,"capsicum, raw",generated
capsicum  red  raw,AUS_F002247,"capsicum, red, raw",generated
capsicum  red  sliced  frozen  pan-fried with olive oil  no salt added,NZ_X10003,"capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added",generated
capsicum  stuffed,AUS_F002251,"capsicum, stuffed",generated
capsicum  yellow  raw,AUS_F010259,"capsicum, yellow, raw",generated
capsicum baked roasted fried stir-fried grilled or bbq d added fat,AUS_F002229,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
capsicum baked roasted fried stir-fried grilled or bbq d no added fat,AUS_F002230,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
capsicum boiled microwaved or steamed drained,AUS_F002233,"capsicum, boiled, microwaved or steamed, drained",generated
capsicum green raw,AUS_F002239,"capsicum, green, raw",generated
capsicum raw,AUS_F002234,"capsicum, raw",generated
capsicum red raw,AUS_F002247,"capsicum, red, raw",generated
capsicum red sliced frozen pan-fried with olive oil no salt added,NZ_X10003,"capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added",generated
capsicum stuffed,AUS_F002251,"capsicum, stuffed",generated
capsicum yellow raw,AUS_F010259,"capsicum, yellow, raw",generated
"capsicum, baked, roasted, fried, stir fried, grilled or bbq d, added fat",AUS_F002229,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
"capsicum, baked, roasted, fried, stir fried, grilled or bbq d, no added fat",AUS_F002230,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",AUS_F002229,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",exact
"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",AUS_F002230,"capsicum, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",exact
"capsicum, boiled, microwaved or steamed, drained",AUS_F002233,"capsicum, boiled, microwaved or steamed, drained",exact
"capsicum, green, raw",AUS_F002239,"capsicum, green, raw",exact
"capsicum, raw",AUS_F002234,"capsicum, raw",exact
"capsicum, red, raw",AUS_F002247,"capsicum, red, raw",exact
"capsicum, red, sliced, frozen, pan fried with olive oil, no salt added",NZ_X10003,"capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added",generated
"capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added",NZ_X10003,"capsicum, red, sliced, frozen, pan-fried with olive oil, no salt added",exact
"capsicum, stuffed",AUS_F002251,"capsicum, stuffed",exact
"capsicum, yellow, raw",AUS_F010259,"capsicum, yellow, raw",exact
caramels,AUS_F002257,"caramels, all types",generated
caramels  all types,AUS_F002257,"caramels, all types",generated
caramels all types,AUS_F002257,"caramels, all types",generated
"caramels, all types",AUS_F002257,"caramels, all types",exact
cardamom seed,AUS_F002258,"cardamom seed, dried, ground",generated
cardamom seed  dried  ground,AUS_F002258,"cardamom seed, dried, ground",generated
cardamom seed dried ground,AUS_F002258,"cardamom seed, dried, ground",generated
"cardamom seed, dried, ground",AUS_F002258,"cardamom seed, dried, ground",exact
carrot,AUS_F002264,"carrot, baby, canned in brine, drained, cooked",generated
carrot  baby  canned in brine  drained  cooked,AUS_F002264,"carrot, baby, canned in brine, drained, cooked",generated
carrot  baked  roasted  fried  stir-fried  grilled or bbq d  added fat,AUS_F002269,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
carrot  baked  roasted  fried  stir-fried  grilled or bbq d  no added fat,AUS_F002274,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
carrot  boiled  microwaved or steamed  drained,AUS_F002275,"carrot, boiled, microwaved or steamed, drained",generated
carrot  cubed or sliced  frozen  boiled  drained  no salt added,NZ_X1228,"carrot, cubed or sliced, frozen, boiled, drained, no salt added",generated
carrot  flesh  fresh  baked with oil,NZ_X1117,"carrot, flesh, fresh, baked with oil",generated
carrot  flesh  fresh  boiled  drained  no salt added,NZ_X1115,"carrot, flesh, fresh, boiled, drained, no salt added",generated
carrot  flesh  fresh  raw,NZ_X1114,"carrot, flesh, fresh, raw",generated
carrot  flesh  fresh  steamed,NZ_X1116,"carrot, flesh, fresh, steamed",generated
carrot  flesh  fresh  stir fried,NZ_X1118,"carrot, flesh, fresh, stir fried",generated
carrot  packaged  chopped or grated,AUS_F010297,"carrot, packaged, chopped or grated",generated
carrot  purple  cooked,AUS_F010296,"carrot, purple, cooked",generated
carrot  purple  raw,AUS_F010334,"carrot, purple, raw",generated
carrot  raw,AUS_F002276,"carrot, raw",generated
carrot  yellow  cooked,AUS_F010295,"carrot, yellow, cooked",generated
carrot  yellow  raw,AUS_F010333,"carrot, yellow, raw",generated
carrot baby canned in brine drained cooked,AUS_F002264,"carrot, baby, canned in brine, drained, cooked",generated
carrot baked roasted fried stir-fried grilled or bbq d added fat,AUS_F002269,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
carrot baked roasted fried stir-fried grilled or bbq d no added fat,AUS_F002274,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
carrot boiled microwaved or steamed drained,AUS_F002275,"carrot, boiled, microwaved or steamed, drained",generated
carrot cubed or sliced frozen boiled drained no salt added,NZ_X1228,"carrot, cubed or sliced, frozen, boiled, drained, no salt added",generated
carrot flesh fresh baked with oil,NZ_X1117,"carrot, flesh, fresh, baked with oil",generated
carrot flesh fresh boiled drained no salt added,NZ_X1115,"carrot, flesh, fresh, boiled, drained, no salt added",generated
carrot flesh fresh raw,NZ_X1114,"carrot, flesh, fresh, raw",generated
carrot flesh fresh steamed,NZ_X1116,"carrot, flesh, fresh, steamed",generated
carrot flesh fresh stir fried,NZ_X1118,"carrot, flesh, fresh, stir fried",generated
carrot packaged chopped or grated,AUS_F010297,"carrot, packaged, chopped or grated",generated
carrot purple cooked,AUS_F010296,"carrot, purple, cooked",generated
carrot purple raw,AUS_F010334,"carrot, purple, raw",generated
carrot raw,AUS_F002276,"carrot, raw",generated
carrot yellow cooked,AUS_F010295,"carrot, yellow, cooked",generated
carrot yellow raw,AUS_F010333,"carrot, yellow, raw",generated
"carrot, baby, canned in brine, drained, cooked",AUS_F002264,"carrot, baby, canned in brine, drained, cooked",exact
"carrot, baked, roasted, fried, stir fried, grilled or bbq d, added fat",AUS_F002269,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",generated
"carrot, baked, roasted, fried, stir fried, grilled or bbq d, no added fat",AUS_F002274,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",generated
"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",AUS_F002269,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, added fat",exact
"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",AUS_F002274,"carrot, baked, roasted, fried, stir-fried, grilled or bbq d, no added fat",exact
"carrot, boiled, microwaved or steamed, drained",AUS_F002275,"carrot, boiled, microwaved or steamed, drained",exact
"carrot, cubed or sliced, frozen, boiled, drained, no salt added",NZ_X1228,"carrot, cubed or sliced, frozen, boiled, drained, no salt added",exact
"carrot, flesh, fresh, baked with oil",NZ_X1117,"carrot, flesh, fresh, baked with oil",exact
"carrot, flesh, fresh, boiled, drained, no salt added",NZ_X1115,"carrot, flesh, fresh, boiled, drained, no salt added",exact
"carrot, flesh, fresh, raw",NZ_X1114,"carrot, flesh, fresh, raw",exact
"carrot, flesh, fresh, steamed",NZ_X1116,"carrot, flesh, fresh, steamed",exact
"carrot, flesh, fresh, stir fried",NZ_X1118,"carrot, flesh, fresh, stir fried",exact
"carrot, packaged, chopped or grated",AUS_F010297,"carrot, packaged, chopped or grated",exact
"carrot, purple, cooked",AUS_F010296,"carrot, purple, cooked",exact
"carrot, purple, raw",AUS_F010334,"carrot, purple, raw",exact
"carrot, raw",AUS_F002276,"carrot, raw",exact
"carrot, yellow, cooked",AUS_F010295,"carrot, yellow, cooked",exact
"carrot, yellow, raw",AUS_F010333,"carrot, yellow, raw",exact
cashew beverage,AUS_F009974,cashew beverage,exact
cashew nut,NZ_Q1057,"cashew nut, dry roasted, salted",generated
cashew nut  dry roasted  salted,NZ_Q1057,"cashew nut, dry roasted, salted",generated
cashew nut  dry roasted  unsalted,NZ_Q1058,"cashew nut, dry roasted, unsalted",generated
cashew nut  raw,NZ_Q1056,"cashew nut, raw",generated
cashew nut dry roasted salted,NZ_Q1057,"cashew nut, dry roasted, salted",generated
cashew nut dry roasted unsalted,NZ_Q1058,"cashew nut, dry roasted, unsalted",generated
cashew nut raw,NZ_Q1056,"cashew nut, raw",generated
"cashew nut, dry roasted, salted",NZ_Q1057,"cashew nut, dry roasted, salted",exact
"cashew nut, dry roasted, unsalted",NZ_Q1058,"cashew nut, dry roasted, unsalted",exact
"cashew nut, raw",NZ_Q1056,"cashew nut, raw",exact
cashew spread,AUS_F009997,"cashew spread, no added sugar or salt",generated
cashew spread  added sugar  and  salt,AUS_F010001,"cashew spread, added sugar  and  salt",generated
cashew spread  no added sugar or salt,AUS_F009997,"cashew spread, no added sugar or salt",generated
cashew spread  not further defined,AUS_F010006,"cashew spread, not further defined",generated
cashew spread added sugar  and  salt,AUS_F010001,"cashew spread, added sugar  and  salt",generated
cashew spread no added sugar or salt,AUS_F009997,"cashew spread, no added sugar or salt",generated
cashew spread not further defined,AUS_F010006,"cashew spread, not further defined",generated
"cashew spread, added sugar  and  salt",AUS_F010001,"cashew spread, added sugar  and  salt",exact
"cashew spread, no added sugar or salt",AUS_F009997,"cashew spread, no added sugar or salt",exact
"cashew spread, not further defined",AUS_F010006,"cashew spread, not further defined",exact
cassava,AUS_F002288,"cassava, white flesh, peeled, raw",generated
cassava  baked in traditional papua new guinea oven,NZ_X237,"cassava, baked in traditional papua new guinea oven",generated
cassava  peeled  cooked,AUS_F002285,"cassava, peeled, cooked",generated
cassava  peeled  raw,AUS_F002286,"cassava, peeled, raw",generated
cassava  root tuber  frozen  peeled  boiled  drained  no salt added,NZ_X1283,"cassava, root tuber, frozen, peeled, boiled, drained, no salt added",generated
cassava  root tuber  frozen  peeled  raw,NZ_X1282,"cassava, root tuber, frozen, peeled, raw",generated
cassava  white flesh  peeled  raw,AUS_F002288,"cassava, white flesh, peeled, raw",generated
cassava  yellow flesh  peeled  raw,AUS_F002290,"cassava, yellow flesh, peeled, raw",generated
cassava baked in traditional papua new guinea oven,NZ_X237,"cassava, baked in traditional papua new guinea oven",generated
cassava peeled cooked,AUS_F002285,"cassava, peeled, cooked",generated
cassava peeled raw,AUS_F002286,"cassava, peeled, raw",generated
cassava root tuber frozen peeled boiled drained no salt added,NZ_X1283,"cassava, root tuber, frozen, peeled, boiled, drained, no salt added",generated
cassava root tuber frozen peeled raw,NZ_X1282,"cassava, root tuber, frozen, peeled, raw",generated
cassava white flesh peeled raw,AUS_F002288,"cassava, white flesh, peeled, raw",generated
cassava yellow flesh peeled raw,AUS_F002290,"cassava, yellow flesh, peeled, raw",generated
"cassava, baked in traditional papua new guinea oven",NZ_X237,"cassava, baked in traditional papua new guinea oven",exact
"cassava, peeled, cooked",AUS_F002285,"cassava, peeled, cooked",exact
"cassava, peeled, raw",AUS_F002286,"cassava, peeled, raw",exact
"cassava, root tuber, frozen, peeled, boiled, drained, no salt added",NZ_X1283,"cassava, root tuber, frozen, peeled, boiled, drained, no salt added",exact
"cassava, root tuber, frozen, peeled, raw",NZ_X1282,"cassava, root tuber, frozen, peeled, raw",exact
"cassava, white flesh, peeled, raw",AUS_F002288,"cassava, white flesh, peeled, raw",exact
"cassava, yellow flesh, peeled, raw",AUS_F002290,"cassava, yellow flesh, peeled, raw",exact
casserole,AUS_F010686,"casserole, commercial, fish, gravy sauce",generated
casserole  beef  with rice or pasta,AUS_F002321,"casserole, beef, with rice or pasta",generated
casserole  chicken  with rice or pasta,AUS_F002335,"casserole, chicken, with rice or pasta",generated
casserole  commercial  beef  cream based sauce,AUS_F010689,"casserole, commercial, beef, cream based sauce",generated
casserole  commercial  beef  gravy sauce,AUS_F010688,"casserole, commercial, beef, gravy sauce",generated
casserole  commercial  beef  tomato based sauce,AUS_F010693,"casserole, commercial, beef, tomato based sauce",generated
casserole  commercial  chicken  cream based sauce,AUS_F010742,"casserole, commercial, chicken, cream based sauce",generated
casserole  commercial  chicken  gravy sauce,AUS_F002309,"casserole, commercial, chicken, gravy sauce",generated
casserole  commercial  chicken  tomato based sauce,AUS_F010745,"casserole, commercial, chicken, tomato based sauce",generated
casserole  commercial  fish  gravy sauce,AUS_F010686,"casserole, commercial, fish, gravy sauce",generated
casserole  commercial  goat,AUS_F010700,"casserole, commercial, goat",generated
casserole  commercial  kangaroo,AUS_F010705,"casserole, commercial, kangaroo",generated
casserole  commercial  lamb  gravy sauce,AUS_F010698,"casserole, commercial, lamb, gravy sauce",generated
casserole  commercial  lamb  tomato based sauce,AUS_F002312,"casserole, commercial, lamb, tomato based sauce",generated
casserole  commercial  pork,AUS_F010699,"casserole, commercial, pork",generated
casserole  commercial  rabbit,AUS_F010707,"casserole, commercial, rabbit",generated
casserole  commercial  sausage,AUS_F010776,"casserole, commercial, sausage",generated
casserole  commercial  shell fish,AUS_F010687,"casserole, commercial, shell fish",generated
casserole  commercial  vegetable  and  legumes,AUS_F010646,"casserole, commercial, vegetable  and  legumes",generated
casserole  commercial  vegetable  gravy sauce,AUS_F002313,"casserole, commercial, vegetable, gravy sauce",generated
casserole  commercial  vegetable  tomato based sauce,AUS_F010662,"casserole, commercial, vegetable, tomato based sauce",generated
casserole  commercial  venison,AUS_F010709,"casserole, commercial, venison",generated
casserole  commercial  with tofu,AUS_F010648,"casserole, commercial, with tofu",generated
casserole  homemade  beef  and  kidney,AUS_F002327,"casserole, homemade, beef  and  kidney",generated
casserole  homemade  beef  and  mushroom  cream based sauce,AUS_F002315,"casserole, homemade, beef  and  mushroom, cream based sauce",generated
casserole  homemade  beef  cream based sauce,AUS_F002317,"casserole, homemade, beef, cream based sauce",generated
casserole  homemade  beef  gravy sauce,AUS_F002322,"casserole, homemade, beef, gravy sauce",generated
casserole  homemade  beef  tomato based sauce,AUS_F002320,"casserole, homemade, beef, tomato based sauce",generated
casserole  homemade  chicken  cream based sauce,AUS_F002330,"casserole, homemade, chicken, cream based sauce",generated
casserole  homemade  chicken  fruit based sauce,AUS_F002332,"casserole, homemade, chicken, fruit based sauce",generated
casserole  homemade  chicken  gravy based sauce,AUS_F002334,"casserole, homemade, chicken, gravy based sauce",generated
casserole  homemade  chicken  tomato based sauce,AUS_F002336,"casserole, homemade, chicken, tomato based sauce",generated
casserole  homemade  fish  dairy based sauce,AUS_F002355,"casserole, homemade, fish, dairy based sauce",generated
casserole  homemade  fish  gravy sauce,AUS_F002301,"casserole, homemade, fish, gravy sauce",generated
casserole  homemade  fish  tomato based sauce,AUS_F010702,"casserole, homemade, fish, tomato based sauce",generated
casserole  homemade  goat,AUS_F010701,"casserole, homemade, goat",generated
casserole  homemade  kangaroo,AUS_F002341,"casserole, homemade, kangaroo",generated
casserole  homemade  lamb  dairy based sauce,AUS_F010694,"casserole, homemade, lamb, dairy based sauce",generated
casserole  homemade  lamb  gravy sauce,AUS_F002344,"casserole, homemade, lamb, gravy sauce",generated
casserole  homemade  lamb  tomato based sauce,AUS_F002345,"casserole, homemade, lamb, tomato based sauce",generated
casserole  homemade  pork,AUS_F002351,"casserole, homemade, pork",generated
casserole  homemade  rabbit,AUS_F002352,"casserole, homemade, rabbit",generated
casserole  homemade  sausage,AUS_F002359,"casserole, homemade, sausage",generated
casserole  homemade  seafood  dairy based sauce,AUS_F010713,"casserole, homemade, seafood, dairy based sauce",generated
casserole  homemade  seafood  gravy sauce,AUS_F010711,"casserole, homemade, seafood, gravy sauce",generated
casserole  homemade  seafood  tomato based sauce,AUS_F010712,"casserole, homemade, seafood, tomato based sauce",generated
casserole  homemade  vegetable  and  legumes,AUS_F002361,"casserole, homemade, vegetable  and  legumes",generated
casserole  homemade  vegetable  gravy sauce,AUS_F002364,"casserole, homemade, vegetable, gravy sauce",generated
casserole  homemade  vegetable  tomato based sauce,AUS_F002365,"casserole, homemade, vegetable, tomato based sauce",generated
casserole  homemade  venison,AUS_F002366,"casserole, homemade, venison",generated
casserole  homemade  with tofu,AUS_F002362,"casserole, homemade, with tofu",generated
casserole  wild caught meat,AUS_F002307,"casserole, wild caught meat",generated
casserole base,AUS_F002293,"casserole base, dry mix",generated
casserole base  cream style  dry mix,AUS_F002292,"casserole base, cream style, dry mix",generated
casserole base  dry mix,AUS_F002293,"casserole base, dry mix",generated
casserole base cream style dry mix,AUS_F002292,"casserole base, cream style, dry mix",generated
casserole base dry mix,AUS_F002293,"casserole base, dry mix",generated
"casserole base, cream style, dry mix",AUS_F002292,"casserole base, cream style, dry mix",exact
"casserole base, dry mix",AUS_F002293,"casserole base, dry mix",exact
casserole beef with rice or pasta,AUS_F002321,"casserole, beef, with rice or pasta",generated
casserole chicken with rice or pasta,AUS_F002335,"casserole, chicken, with rice or pasta",generated
casserole commercial beef cream based sauce,AUS_F010689,"casserole, commercial, beef, cream based sauce",generated
casserole commercial beef gravy sauce,AUS_F010688,"casserole, commercial, beef, gravy sauce",generated
casserole commercial beef tomato based sauce,AUS_F010693,"casserole, commercial, beef, tomato based sauce",generated
casserole commercial chicken cream based sauce,AUS_F010742,"casserole, commercial, chicken, cream based sauce",generated
casserole commercial chicken gravy sauce,AUS_F002309,"casserole, commercial, chicken, gravy sauce",generated
casserole commercial chicken tomato based sauce,AUS_F010745,"casserole, commercial, chicken, tomato based sauce",generated
casserole commercial fish gravy sauce,AUS_F010686,"casserole, commercial, fish, gravy sauce",generated
casserole commercial goat,AUS_F010700,"casserole, commercial, goat",generated
casserole commercial kangaroo,AUS_F010705,"casserole, commercial, kangaroo",generated
casserole commercial lamb gravy sauce,AUS_F010698,"casserole, commercial, lamb, gravy sauce",generated
casserole commercial lamb tomato based sauce,AUS_F002312,"casserole, commercial, lamb, tomato based sauce",generated
casserole commercial pork,AUS_F010699,"casserole, commercial, pork",generated
casserole commercial rabbit,AUS_F010707,"casserole, commercial, rabbit",generated
casserole commercial sausage,AUS_F010776,"casserole, commercial, sausage",generated
casserole commercial shell fish,AUS_F010687,"casserole, commercial, shell fish",generated
casserole commercial vegetable  and  legumes,AUS_F010646,"casserole, commercial, vegetable  and  legumes",generated
casserole commercial vegetable gravy sauce,AUS_F002313,"casserole, commercial, vegetable, gravy sauce",generated
casserole commercial vegetable tomato based sauce,AUS_F010662,"casserole, commercial, vegetable, tomato based sauce",generated
casserole commercial venison,AUS_F010709,"casserole, commercial, venison",generated
casserole commercial with tofu,AUS_F010648,"casserole, commercial, with tofu",generated
casserole homemade beef  and  kidney,AUS_F002327,"casserole, homemade, beef  and  kidney",generated
casserole homemade beef  and  mushroom cream based sauce,AUS_F002315,"casserole, homemade, beef  and  mushroom, cream based sauce",generated
casserole homemade beef cream based sauce,AUS_F002317,"casserole, homemade, beef, cream based sauce",generated
casserole homemade beef gravy sauce,AUS_F002322,"casserole, homemade, beef, gravy sauce",generated
casserole homemade beef tomato based sauce,AUS_F002320,"casserole, homemade, beef, tomato based sauce",generated
casserole homemade chicken cream based sauce,AUS_F002330,"casserole, homemade, chicken, cream based sauce",generated
casserole homemade chicken fruit based sauce,AUS_F002332,"casserole, homemade, chicken, fruit based sauce",generated
casserole homemade chicken gravy based sauce,AUS_F002334,"casserole, homemade, chicken, gravy based sauce",generated
casserole homemade chicken tomato based sauce,AUS_F002336,"casserole, homemade, chicken, tomato based sauce",generated
casserole homemade fish dairy based sauce,AUS_F002355,"casserole, homemade, fish, dairy based sauce",generated
casserole homemade fish gravy sauce,AUS_F002301,"casserole, homemade, fish, gravy sauce",generated
casserole homemade fish tomato based sauce,AUS_F010702,"casserole, homemade, fish, tomato based sauce",generated
casserole homemade goat,AUS_F010701,"casserole, homemade, goat",generated
casserole homemade kangaroo,AUS_F002341,"casserole, homemade, kangaroo",generated
casserole homemade lamb dairy based sauce,AUS_F010694,"casserole, homemade, lamb, dairy based sauce",generated
casserole homemade lamb gravy sauce,AUS_F002344,"casserole, homemade, lamb, gravy sauce",generated
casserole homemade lamb tomato based sauce,AUS_F002345,"casserole, homemade, lamb, tomato based sauce",generated
casserole homemade pork,AUS_F002351,"casserole, homemade, pork",generated
casserole homemade rabbit,AUS_F002352,"casserole, homemade, rabbit",generated
casserole homemade sausage,AUS_F002359,"casserole, homemade, sausage",generated
casserole homemade seafood dairy based sauce,AUS_F010713,"casserole, homemade, seafood, dairy based sauce",generated
casserole homemade seafood gravy sauce,AUS_F010711,"casserole, homemade, seafood, gravy sauce",generated
casserole homemade seafood tomato based sauce,AUS_F010712,"casserole, homemade, seafood, tomato based sauce",generated
casserole homemade vegetable  and  legumes,AUS_F002361,"casserole, homemade, vegetable  and  legumes",generated
casserole homemade vegetable gravy sauce,AUS_F002364,"casserole, homemade, vegetable, gravy sauce",generated
casserole homemade vegetable tomato based sauce,AUS_F002365,"casserole, homemade, vegetable, tomato based sauce",generated
casserole homemade venison,AUS_F002366,"casserole, homemade, venison",generated
casserole homemade with tofu,AUS_F002362,"casserole, homemade, with tofu",generated
casserole wild caught meat,AUS_F002307,"casserole, wild caught meat",generated
"casserole, beef, with rice or pasta",AUS_F002321,"casserole, beef, with rice or pasta",exact
"casserole, chicken, with rice or pasta",AUS_F002335,"casserole, chicken, with rice or pasta",exact
"casserole, commercial, beef, cream based sauce",AUS_F010689,"casserole, commercial, beef, cream based sauce",exact
"casserole, commercial, beef, gravy sauce",AUS_F010688,"casserole, commercial, beef, gravy sauce",exact
"casserole, commercial, beef, tomato based sauce",AUS_F010693,"casserole, commercial, beef, tomato based sauce",exact
"casserole, commercial, chicken, cream based sauce",AUS_F010742,"casserole, commercial, chicken, cream based sauce",exact
"casserole, commercial, chicken, gravy sauce",AUS_F002309,"casserole, commercial, chicken, gravy sauce",exact
"casserole, commercial, chicken, tomato based sauce",AUS_F010745,"casserole, commercial, chicken, tomato based sauce",exact
"casserole, commercial, fish, gravy sauce",AUS_F010686,"casserole, commercial, fish, gravy sauce",exact
"casserole, commercial, goat",AUS_F010700,"casserole, commercial, goat",exact
"casserole, commercial, kangaroo",AUS_F010705,"casserole, commercial, kangaroo",exact
"casserole, commercial, lamb, gravy sauce",AUS_F010698,"casserole, commercial, lamb, gravy sauce",exact
"casserole, commercial, lamb, tomato based sauce",AUS_F002312,"casserole, commercial, lamb, tomato based sauce",exact
"casserole, commercial, pork",AUS_F010699,"casserole, commercial, pork",exact
"casserole, commercial, rabbit",AUS_F010707,"casserole, commercial, rabbit",exact
"casserole, commercial, sausage",AUS_F010776,"casserole, commercial, sausage",exact
"casserole, commercial, shell fish",AUS_F010687,"casserole, commercial, shell fish",exact
"casserole, commercial, vegetable  and  legumes",AUS_F010646,"casserole, commercial, vegetable  and  legumes",exact
"casserole, commercial, vegetable, gravy sauce",AUS_F002313,"casserole, commercial, vegetable, gravy sauce",exact
"casserole, commercial, vegetable, tomato based sauce",AUS_F010662,"casserole, commercial, vegetable, tomato based sauce",exact
"casserole, commercial, venison",AUS_F010709,"casserole, commercial, venison",exact
"casserole, commercial, with tofu",AUS_F010648,"casserole, commercial, with tofu",exact
"casserole, homemade, beef  and  kidney",AUS_F002327,"casserole, homemade, beef  and  kidney",exact
"casserole, homemade, beef  and  mushroom, cream based sauce",AUS_F002315,"casserole, homemade, beef  and  mushroom, cream based sauce",exact
"casserole, homemade, beef, cream based sauce",AUS_F002317,"casserole, homemade, beef, cream based sauce",exact
"casserole, homemade, beef, gravy sauce",AUS_F002322,"casserole, homemade, beef, gravy sauce",exact
"casserole, homemade, beef, tomato based sauce",AUS_F002320,"casserole, homemade, beef, tomato based sauce",exact
"casserole, homemade, chicken, cream based sauce",AUS_F002330,"casserole, homemade, chicken, cream based sauce",exact
"casserole, homemade, chicken, fruit based sauce",AUS_F002332,"casserole, homemade, chicken, fruit based sauce",exact
"casserole, homemade, chicken, gravy based sauce",AUS_F002334,"casserole, homemade, chicken, gravy based sauce",exact
"casserole, homemade, chicken, tomato based sauce",AUS_F002336,"casserole, homemade, chicken, tomato based sauce",exact
"casserole, homemade, fish, dairy based sauce",AUS_F002355,"casserole, homemade, fish, dairy based sauce",exact
